Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
TTWO,181.22,2021/12/30,15:32 EST,0.91999817,180.35,181.69,179.645,413815,20211215,167.82,1.0,,,,
CEZ.PR,827.0,2021/12/30,16:21 CET,-3.0,830.0,830.0,823.0,148182,20211123,719.0,1.0,,,,
GRMN,137.22,2021/12/30,15:32 EST,1.199997,136.78,137.7892,136.0274,206244,20211011,154.5,1.0,,,,
UL,53.61,2021/12/30,15:32 EST,-0.0099983215,53.55,53.675,53.505,1371551,20210803,57.77,2.0,,,,
BTC-USD,47647.58,2021/12/30,20:32 UTC,90.515625,46444.67,47871.656,46073.53,28129357824,20210923,44833.0,0.029997,,,,
PG,162.89,2021/12/30,15:32 EST,-1.300003,164.4,164.58,162.61,3151501,20210412,135.8,2.0,,,,
SONY,126.28,2021/12/30,15:32 EST,-0.41000366,126.25,126.68,126.28,164263,20200330,60.14,1.0,,,,
MSFT,340.81,2021/12/30,15:32 EST,-1.1400146,341.91,343.13,340.2319,10999503,20210219,241.44,1.0,,,,
SHLS,24.74,2021/12/30,15:32 EST,0.69000053,24.09,25.24,24.09,506656,20210129,32.0,2.0,,,,
SHLS,24.74,2021/12/30,15:32 EST,0.69000053,24.09,25.24,24.09,506656,20210419,30.87,1.0,,,,
AIR.PA,112.68,2021/12/30,17:35 CET,0.55999756,111.84,112.8,111.28,714942,,84.6,1.0,,,,
AAPL,178.905,2021/12/30,15:32 EST,-0.4750061,179.47,180.565,178.66,48080753,20201209,121.87,1.0,,,,
AAPL,178.905,2021/12/30,15:32 EST,-0.4750061,179.47,180.565,178.66,48080753,20210308,118.84,1.0,,,,
PM,94.483,2021/12/30,15:32 EST,0.18299866,94.46,94.7096,94.24,1085991,20201008,78.97,1.0,,,,
PM,94.483,2021/12/30,15:32 EST,0.18299866,94.46,94.7096,94.24,1085991,20210330,89.34,1.0,,,,
CSCO,63.795,2021/12/30,15:32 EST,-0.16500092,64.04,64.14,63.47,5770129,20200909,40.33,2.0,,,,
INTC,51.9801,2021/12/30,15:32 EST,0.1500969,51.92,52.135,51.755,10001896,20200819,48.72,2.0,,,,
INTC,51.9801,2021/12/30,15:32 EST,0.1500969,51.92,52.135,51.755,10001896,20201117,45.88,1.0,,,,
INTC,51.9801,2021/12/30,15:32 EST,0.1500969,51.92,52.135,51.755,10001896,20211025,49.87,1.0,,,,
MONET.PR,93.75,2021/12/30,16:15 CET,-0.40000153,94.0,94.0,93.75,140958,20200723,54.1,2.0,,,,
VOW.DE,258.4,2021/12/30,14:05 CET,-1.2000122,258.2,260.2,258.2,16776,20200720,148.0,1.0,,,,
KO,58.9159,2021/12/30,15:32 EST,-0.03409958,59.06,59.22,58.77,4776842,20200511,45.63,2.0,,,,
KO,58.9159,2021/12/30,15:32 EST,-0.03409958,59.06,59.22,58.77,4776842,20200624,45.29,1.0,,,,
KO,58.9159,2021/12/30,15:32 EST,-0.03409958,59.06,59.22,58.77,4776842,20200810,47.76,1.0,,,,
CVS,103.965,2021/12/30,15:32 EST,0.2649994,103.99,104.53,103.4501,1682548,,58.48,3.0,,,,
CVS,103.965,2021/12/30,15:32 EST,0.2649994,103.99,104.53,103.4501,1682548,20210120,74.96,1.0,,,,
CVS,103.965,2021/12/30,15:32 EST,0.2649994,103.99,104.53,103.4501,1682548,20210914,84.0,1.0,,,,
DIS,156.28,2021/12/30,15:32 EST,1.4100037,155.71,157.07,155.515,5829317,,100.74,1.0,,,,
BA,203.43,2021/12/30,15:32 EST,-0.23001099,203.0,206.0,202.6,5595616,,147.95,1.0,,,,
SAVE,22.125,2021/12/30,15:32 EST,0.14500046,21.88,22.39,21.8,3144207,20200402,11.85,1.0,,,,
SAVE,22.125,2021/12/30,15:32 EST,0.14500046,21.88,22.39,21.8,3144207,20200522,9.97,2.0,,,,
T,24.795,2021/12/30,15:32 EST,0.15500069,24.67,24.95,24.66,32835780,,29.67,1.0,,,,
PFE,58.48,2021/12/30,15:32 EST,0.8999977,57.75,58.74,57.5399,18467673,,31.83,1.0,,,,
BAC,44.5705,2021/12/30,15:32 EST,-0.059501648,44.75,45.095,44.543,17920622,,22.08,1.0,,,,
BAC,44.5705,2021/12/30,15:32 EST,-0.059501648,44.75,45.095,44.543,17920622,20200824,25.27,2.0,,,,
BAC,44.5705,2021/12/30,15:32 EST,-0.059501648,44.75,45.095,44.543,17920622,20210104,29.94,2.0,,,,
BAC,44.5705,2021/12/30,15:32 EST,-0.059501648,44.75,45.095,44.543,17920622,20210714,38.6,1.0,,,,
AXP,164.5667,2021/12/30,15:32 EST,0.73669434,164.62,165.8,164.32,1124845,,79.84,1.0,,,,
