Symbol,Purchase price,Current price,Quantity,Current Difference,Total gain,Total gain (%),P/L (%)
AAPL,120.355,177.79,2.00,57.43,114.87,47.72 %,P/L  26.73%
AIR.PA,84.6,120.4,1.00,35.80,35.80,42.32 %,P/L  26.73%
AXP,79.84,174.745,1.00,94.91,94.91,118.87 %,P/L  26.73%
BA,147.95,216.5727,1.00,68.62,68.62,46.38 %,P/L  26.73%
BAC,28.9725,47.80625,6.00,18.83,113.00,65.01 %,P/L  26.73%
BTC-USD,44833.0,46192.418,0.03,1359.42,40.78,3.03 %,P/L  26.73%
CEZ.PR,719.0,813.5,1.00,94.50,94.50,13.14 %,P/L  26.73%
CSCO,40.33,60.83,2.00,20.50,41.00,50.83 %,P/L  26.73%
CVS,72.48,106.19146666666667,5.00,33.71,168.56,46.51 %,P/L  26.73%
DIS,100.74,158.0574,1.00,57.32,57.32,56.90 %,P/L  26.73%
GRMN,154.5,136.105,1.00,-18.40,-18.40,-11.91 %,P/L  26.73%
INTC,48.156666666666666,54.67499999999999,4.00,6.52,26.07,13.54 %,P/L  26.73%
KO,46.22666666666667,61.08166666666667,4.00,14.86,59.42,32.14 %,P/L  26.73%
MONET.PR,54.1,93.75,2.00,39.65,79.30,73.29 %,P/L  26.73%
MSFT,241.44,321.265,1.00,79.82,79.82,33.06 %,P/L  26.73%
PFE,31.83,55.723,1.00,23.89,23.89,75.06 %,P/L  26.73%
PG,135.8,164.62,2.00,28.82,57.64,21.22 %,P/L  26.73%
PM,84.155,96.6925,2.00,12.54,25.07,14.90 %,P/L  26.73%
SAVE,10.91,23.35,3.00,12.44,37.32,114.02 %,P/L  26.73%
SHLS,31.435000000000002,22.2025,3.00,-9.23,-27.70,-29.37 %,P/L  26.73%
SONY,60.14,130.475,1.00,70.33,70.33,116.95 %,P/L  26.73%
T,29.67,26.665,1.00,-3.01,-3.01,-10.13 %,P/L  26.73%
TTWO,167.82,172.99,1.00,5.17,5.17,3.08 %,P/L  26.73%
UL,57.77,53.9042,2.00,-3.87,-7.73,-6.69 %,P/L  26.73%
VOW.DE,148.0,279.4,1.00,131.40,131.40,88.78 %,P/L  26.73%
