Symbol,Purchase price,Current price,Quantity,Difference,Total gain,Total gain (%)
AAPL,120.355,177.14499999999998,2.000000,56.79,113.58,47.19 %
AIR.PA,84.6,112.68,1.000000,28.08,28.08,33.19 %
AXP,79.84,164.52,1.000000,84.68,84.68,106.06 %
BA,147.95,204.03,1.000000,56.08,56.08,37.90 %
BAC,28.9725,44.455,6.000000,15.48,92.90,53.44 %
BTC-USD,44833.0,47281.67,0.029997,2448.67,73.45,5.46 %
CEZ.PR,719.0,827.0,1.000000,108.00,108.00,15.02 %
CSCO,40.33,62.245,2.000000,21.91,43.83,54.34 %
CVS,72.48,101.45,5.000000,28.97,144.85,39.97 %
DIS,100.74,153.8394,1.000000,53.10,53.10,52.71 %
GRMN,154.5,136.71,1.000000,-17.79,-17.79,-11.51 %
INTC,48.156666666666666,51.51500000000001,4.000000,3.36,13.43,6.97 %
KO,46.22666666666667,58.04,4.000000,11.81,47.25,25.56 %
MONET.PR,54.1,92.8,2.000000,38.70,77.40,71.53 %
MSFT,241.44,339.32,1.000000,97.88,97.88,40.54 %
PFE,31.83,58.335,1.000000,26.51,26.51,83.27 %
PG,135.8,162.77,2.000000,26.97,53.94,19.86 %
PM,84.155,93.0911,2.000000,8.94,17.87,10.62 %
SAVE,10.91,22.82,3.000000,11.91,35.73,109.17 %
SHLS,31.435000000000002,24.73,3.000000,-6.71,-20.12,-21.33 %
SONY,60.14,125.92,1.000000,65.78,65.78,109.38 %
T,29.67,24.855,1.000000,-4.82,-4.82,-16.23 %
TTWO,167.82,180.83,1.000000,13.01,13.01,7.75 %
UL,57.77,53.58,2.000000,-4.19,-8.38,-7.25 %
VOW.DE,148.0,264.0,1.000000,116.00,116.00,78.38 %
