Symbol,Purchase price,Current price,Quantity
CEZ.PR,719.0,827,1.0
GRMN,154.5,137.2,2.0
UL,57.77,53.63,0.029997
BTC-USD,44833.0,47649.16,2.0
PG,135.8,162.8956,1.0
SONY,60.14,126.36,1.0
MSFT,241.44,340.94,2.0
SHLS,32.0,24.77,1.0
SHLS,30.87,24.79,1.0
AIR.PA,84.6,112.68,1.0
AAPL,121.87,178.95,1.0
AAPL,118.84,178.9506,1.0
PM,78.97,94.55,1.0
PM,89.34,94.55,2.0
CSCO,40.33,63.8,3.0
XPEV,22.61,49.17,2.0
INTC,48.72,52.01,1.0
INTC,45.88,52.015,1.0
INTC,49.87,52.015,2.0
MONET.PR,54.1,93.75,1.0
VOW.DE,148.0,258.4,2.0
KO,45.63,58.9425,1.0
KO,45.29,58.9425,1.0
KO,47.76,58.945,3.0
CVS,58.48,104,1.0
CVS,74.96,104,1.0
CVS,84.0,104,1.0
DIS,100.74,156.355,1.0
BA,147.95,203.55,1.0
SAVE,11.85,22.14,2.0
SAVE,9.97,22.14,1.0
T,29.67,24.795,1.0
PFE,31.83,58.59,1.0
BAC,22.08,44.5656,2.0
BAC,25.27,44.565,2.0
BAC,29.94,44.57,1.0
BAC,38.6,44.565,1.0
